player_age,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,woba_percent
24,0.338,87.6,8.6,28.9,6.4,33.8
24,0.339,88.4,14.3,31.9,4.5,33.9
26,0.329,85,11.4,32.9,2.6,32.9
22,0.309,85.7,6.8,28.7,3.9,30.9
23,0.273,82.8,11.2,32.5,1.7,27.3
28,0.302,86,13,33.3,3.4,30.2
24,0.396,88.2,15,35.5,5,39.6
23,0.351,87.6,16.4,34.5,4.7,35.1
23,0.364,93.3,23,36,22.1,36.4
23,0.364,89.7,11.1,40.4,8.5,36.4
22,0.317,89,11.3,30.5,6.5,31.7
23,0.276,86.9,8.3,31.2,3,27.6
26,0.361,87.1,12.2,39.7,8,36.1
23,0.312,88.1,15,32.3,5.6,31.2
22,0.309,85.3,10.4,34.5,2.6,30.9
26,0.349,88.5,10.4,27.2,9.4,34.9
24,0.288,85.6,8,31.8,5.1,28.8
21,0.38,90.8,17.5,35.3,12.2,38
25,0.349,88.6,7.1,30.9,10,34.9
22,0.332,87.5,14.7,31.7,5.5,33.2
39,0.313,90,6,38.3,6.5,31.3
41,0.318,90.2,7.6,32.2,12,31.8
34,0.317,90.7,17.7,35.1,10.1,31.7
35,0.343,85.6,12.8,32.9,6.3,34.3
35,0.286,88,13,35.1,6.5,28.6
37,0.28,88.7,18.2,36.4,7.5,28
33,0.275,88.7,13.8,28.8,3.3,27.5
35,0.357,89.9,10,40.2,6,35.7
38,0.283,87.4,16.6,30.7,2.6,28.3
33,0.282,86.1,8.9,32.2,2.9,28.2
33,0.298,87.9,20.4,38.9,6.7,29.8
34,0.345,92.6,10.5,32.7,9.8,34.5
34,0.4,89.9,12.1,44.5,12.7,40
34,0.44,90.3,16.7,32.7,11.6,44
32,0.374,85.1,16.3,36.6,7.9,37.4
32,0.29,85.3,8.2,36.3,3.4,29
33,0.333,85.3,8.8,38.1,5.7,33.3
36,0.32,91.4,14.3,40.2,10.6,32
32,0.37,91.1,14.3,42.3,10.8,37
33,0.329,89.2,4,31.1,6.3,32.9
32,0.366,89.6,18.1,32.7,11.7,36.6
32,0.351,96,9,30.2,23.7,35.1
32,0.293,91.4,17.1,31,10.8,29.3
30,0.316,88,18.3,34.6,5.9,31.6
31,0.267,88.7,3.7,29.5,8.1,26.7
31,0.3,89.8,14.1,27,14.3,30
32,0.318,88,18.1,40.2,8.3,31.8
35,0.297,87.1,14.7,28.7,8.5,29.7
32,0.388,87.6,14,39.9,13.5,38.8
32,0.32,88.5,2.9,31.1,4.6,32
31,0.29,86.3,18.2,31.5,5.5,29
32,0.353,89.3,15,34.3,7.7,35.3
30,0.301,88.3,6.2,23.3,3.3,30.1
30,0.432,92.4,24.5,39.3,22,43.2
29,0.424,93,13.6,41.9,15.1,42.4
35,0.35,92.8,9.8,33,10.5,35
30,0.333,88,17.9,36.9,15,33.3
30,0.298,89.1,10.3,35.2,8,29.8
30,0.241,88.1,9.7,28.4,6.1,24.1
31,0.361,88.4,23,34.9,6.5,36.1
31,0.331,85.8,11.5,39.5,5.1,33.1
30,0.271,87.8,21.4,32.8,7.2,27.1
31,0.335,89.1,14.2,28.9,14.9,33.5
31,0.334,90.4,18.6,34.4,16.1,33.4
35,0.313,90.1,13,36.2,6.9,31.3
31,0.352,91,18.7,39.9,11.5,35.2
30,0.396,92.1,10.9,29,11.1,39.6
32,0.324,84.7,7.6,31.5,0,32.4
33,0.348,87.3,10.4,30.1,3.2,34.8
30,0.309,88.5,13.4,39.8,8.2,30.9
29,0.363,89.7,13.6,34.9,11.4,36.3
30,0.424,95.7,12.2,37.4,25.8,42.4
29,0.402,90.7,15.7,30.4,6.8,40.2
31,0.304,87.8,13.7,29.6,5.3,30.4
30,0.338,89.9,16.1,33.3,13.9,33.8
30,0.306,91.6,6.3,32.1,10.3,30.6
33,0.261,87.5,15.3,42.8,4.5,26.1
29,0.384,88.7,10.2,28.9,7.6,38.4
28,0.325,88.3,20.6,36.2,10.4,32.5
34,0.297,90.7,16.9,43,12.6,29.7
33,0.28,88.1,24.9,35.1,11.3,28
29,0.334,88,13.3,33.5,5.2,33.4
29,0.262,87.9,8.9,28.6,8.7,26.2
28,0.318,88.8,13.1,27.2,6.6,31.8
28,0.282,87.1,23.1,26,6.8,28.2
29,0.315,89.2,19.8,36.3,12.7,31.5
29,0.309,91,18.7,34.6,16.9,30.9
29,0.323,89.5,11.8,33.5,8.2,32.3
29,0.287,87.4,11.8,34.6,5.1,28.7
29,0.367,89.2,8.8,31.6,7.9,36.7
29,0.38,90.1,18.2,35.7,10.1,38
28,0.335,90.5,12.3,26.5,4.4,33.5
29,0.342,89.8,6,28.3,6.3,34.2
29,0.365,90.6,8.4,34.3,9,36.5
29,0.43,87.8,20.2,33.5,8,43
28,0.323,89.6,20.2,32.3,7.2,32.3
28,0.32,91,16.2,39.9,11.1,32
28,0.298,87.7,17.2,34.4,6.9,29.8
28,0.361,90,16.7,38.9,11.7,36.1
31,0.339,89.1,20.1,39.6,12.7,33.9
28,0.375,92,20.2,30.9,16.9,37.5
